"comparison_group_id","comparison_set_name","showcase_id","showcase_name","baseline_module2_run_id","challenger_module2_run_id","baseline_strategy_set_name","baseline_strategy_name","baseline_strategy_version","challenger_strategy_set_name","challenger_strategy_name","challenger_strategy_version","module1_scenario_set_name","module1_scenario_name","population_id","expected_comparison_storyline","primary_metric_focus","active_comparison_flag","registry_active_flag","registry_created_ts","registry_updated_ts"
CG17,Broad LGD Baseline vs Product Guardrails,SC06,LGD Severity Sensitivity,M2-35,M2-36,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,PRODUCT_SPECIFIC_GUARDRAIL_STRATEGY,V1_0,MODULE1_V2_LGD_SEVERITY_SENSITIVITY_SET,BROAD_LGD_STRESS,BASE_POPULATION_V1,Product guardrails under broad LGD stress.,approved EL reduction under broad severity stress,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG18,Baseline vs Aggressive Counteroffer Expansion,SC01,Baseline Strategy Frontier,M2-01,M2-37,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,AGGRESSIVE_COUNTEROFFER_EXPANSION_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Aggressive counteroffer expansion on the baseline Module 1 population.,counteroffer expansion,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG19,Near-Prime Baseline vs Aggressive Counteroffer Expansion,SC03,Credit Box Sensitivity,M2-16,M2-38,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,AGGRESSIVE_COUNTEROFFER_EXPANSION_STRATEGY,V1_0,MODULE1_V2_CREDIT_BOX_SENSITIVITY_SET,NEAR_PRIME_EXPANSION_MIX,BASE_POPULATION_V1,Aggressive counteroffer expansion under near-prime expansion.,counteroffer expansion,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG20,High-Balance Baseline vs Aggressive Counteroffer Expansion,SC05,Exposure Intensity Sensitivity,M2-28,M2-39,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,AGGRESSIVE_COUNTEROFFER_EXPANSION_STRATEGY,V1_0,MODULE1_V2_EXPOSURE_INTENSITY_SENSITIVITY_SET,HIGH_BALANCE_APPETITE,BASE_POPULATION_V1,Aggressive counteroffer expansion under high-balance appetite.,counteroffer expansion,true,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG04,Baseline vs Selective Counteroffer Feasibility,SC01,Baseline Strategy Frontier,M2-01,M2-05,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,SELECTIVE_COUNTEROFFER_FEASIBILITY_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Selective counteroffer feasibility on the baseline Module 1 population.,selective counteroffer feasibility and exposure reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG05,Baseline vs Product Guardrails,SC01,Baseline Strategy Frontier,M2-01,M2-06,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,PRODUCT_SPECIFIC_GUARDRAIL_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Product-specific guardrail effect.,product-level approved EL reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG06,Baseline vs Manual Review Reduction,SC01,Baseline Strategy Frontier,M2-01,M2-07,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,MANUAL_REVIEW_REDUCTION_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,BASELINE_V2,BASE_POPULATION_V1,Manual-review burden reduction.,manual-review rate reduction,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG07,Rate-Up 200bp Baseline vs Affordability Tight,SC02,Rate Environment Sensitivity,M2-08,M2-11,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,TIGHTER_AFFORDABILITY_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,RATE_UP_200BP,BASE_POPULATION_V1,Affordability under 200bp rate stress.,approved PTI under rate stress,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG08,Rate-Up 300bp Baseline vs Affordability Tight,SC02,Rate Environment Sensitivity,M2-10,M2-12,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,TIGHTER_AFFORDABILITY_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,RATE_UP_300BP,BASE_POPULATION_V1,Affordability under 300bp rate stress.,approved PTI under severe rate stress,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
CG09,Rate-Down 200bp Baseline vs Growth,SC02,Rate Environment Sensitivity,M2-09,M2-13,MODULE2_BASELINE_STRATEGY_SET,BASELINE_STRATEGY,V1_0,MODULE2_BASELINE_STRATEGY_SET,GROWTH_ORIENTED_STRATEGY,V1_0,MODULE1_V2_BASELINE_SET,RATE_DOWN_200BP,BASE_POPULATION_V1,Growth under rate relief.,offer growth under rate relief,false,true,2026-05-19 23:12:23.799,2026-05-20 22:38:29.270
